#RANK,#TYPE,#FORM,#SENSE,ENG,KHK
0,verb,indicative,,"to be",байна
0,particle,interrogative,,,бэ/вэ
1,noun,,,wife,гэргий
0,"possessive pronoun",,,my,миний
1,honorific,,,Mr,ноён
1,adjective,,,good/well,сайн
2,adjective,,,nice/pretty,сайхан
3,noun,,,news,сонин
